Brush Teeth,Bath Toiletries,2.9,BE0001BT0001,199160,1000,577564
Calmoliver,Bath Toiletries,4.65,CO0002BT0002,400000,1500,1860000
Garderner Man,Skin Care & Cosmetics,3.5,GM0001SC0001,150000,1000,525000
Cap Moktan 5KG,Rice,12.99,CM0001RC0001,200000,2000,2598000
Cap Moktan 10KG,Rice,25.99,CM0002RC0002,200000,2000,5198000
Seng Hup Crackers,Biscuits,3.8,SH0001BC0001,150000,1500,570000
Oleo Sandwitch,Biscuits,3,OL0002BC0002,150000,1500,450000
Kaki Kila 1.5L,Carbonated Drinks,3.39,KK0001CD0001,150000,1500,508500
Santa Lychee 1.5L,Carbonated Drinks,2.59,SL0002CD0002,150000,1500,388500
Hall's Vanilla 1.5L,Ice Cream,10.3,HV0001IC0001,150000,1500,1545000
Haagen-Dazs Cookies & Cream 473ML,Ice Cream,31.2,HD0002IC0002,150000,1500,4680000
Whispers Salmon 7KG,Cat Food,68.5,WS0001CF0001,150000,1500,10275000
0000017788C48048,0000017788E1A058,000001778900E058,0000017789202058,00000177893F6058,00000177895C8048,00000177897BC048
Takpaweyh Eco Bottle 1.0L,Bottle,15.65,TE0001BT0001,150000,1000,2347500
